family,truth,p_memory,confidence
gpu_cutlass_simt_conv2d,compute_bound,0.128,0.872
gpu_cutlass_simt_conv2d,compute_bound,0.184,0.8160000000000001
gpu_cutlass_simt_conv2d,compute_bound,0.176,0.8240000000000001
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.006,0.994
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.002,0.998
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.0,1.0
gpu_cutlass_simt_conv2d,compute_bound,0.128,0.872
gpu_cutlass_simt_conv2d,compute_bound,0.22199999999999998,0.778
gpu_cutlass_simt_conv2d,compute_bound,0.172,0.8280000000000001
dual_axpy,memory_bound,0.9879999999999999,0.9879999999999999
dual_axpy,memory_bound,0.99,0.99
dual_axpy,memory_bound,0.99,0.99
dual_axpy,memory_bound,1.0,1.0
dual_axpy,memory_bound,1.0,1.0
dual_axpy,memory_bound,1.0,1.0
dual_axpy,memory_bound,0.742,0.742
dual_axpy,memory_bound,0.952,0.952
dual_axpy,memory_bound,0.5960000000000001,0.5960000000000001
dual_axpy,memory_bound,0.6020000000000001,0.6020000000000001
dual_axpy,memory_bound,0.7219999999999999,0.7219999999999999
dual_axpy,memory_bound,0.7659999999999999,0.7659999999999999
dual_axpy,memory_bound,0.7300000000000001,0.7300000000000001
dual_axpy,memory_bound,0.588,0.588
dual_axpy,memory_bound,0.7,0.7
dual_axpy,memory_bound,0.998,0.998
dual_axpy,memory_bound,1.0,1.0
dual_axpy,memory_bound,1.0,1.0
dual_axpy,memory_bound,1.0,1.0
