threshold,family,class,n,seed,decided,coverage,accuracy_decided
0.5,dual_axpy,memory_bound,45,2.0,45.0,1.0,0.9955555555555555
0.5,dual_cholesky,compute_bound,30,2.0,30.0,1.0,0.6133333333333333
0.5,dual_fft,compute_bound,3,2.0,3.0,1.0,0.0
0.5,dual_fft,memory_bound,27,2.0,27.0,1.0,1.0
0.5,dual_spmv,memory_bound,60,2.0,60.0,1.0,0.8833333333333332
0.5,dual_stencil,memory_bound,45,2.0,45.0,1.0,0.8666666666666666
0.5,gpu_cutlass_simt_conv2d,compute_bound,30,2.0,30.0,1.0,1.0
0.5,gpu_cutlass_simt_dgemm_n4096,compute_bound,24,2.0,24.0,1.0,1.0
0.5,minibude_cuda_bm1,compute_bound,3,2.0,3.0,1.0,1.0
0.5,rajaperf_cuda_gemm,compute_bound,9,2.0,9.0,1.0,0.6666666666666666
0.5,rajaperf_cuda_gemm,memory_bound,9,2.0,9.0,1.0,1.0
0.5,rajaperf_cuda_heat_3d,memory_bound,18,2.0,18.0,1.0,1.0
0.5,rajaperf_cuda_jacobi_2d,memory_bound,30,2.0,30.0,1.0,1.0
0.5,rajaperf_stream,memory_bound,30,2.0,30.0,1.0,1.0
0.5,rodinia_gaussian,memory_bound,30,2.0,30.0,1.0,0.54
0.5,rodinia_heartwall,compute_bound,30,2.0,30.0,1.0,1.0
0.5,rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,30,2.0,30.0,1.0,1.0
0.5,rodinia_lud,compute_bound,12,2.0,12.0,1.0,0.0
0.5,rodinia_lud,memory_bound,18,2.0,18.0,1.0,1.0
0.6,dual_axpy,memory_bound,45,2.0,43.2,0.96,1.0
0.6,dual_cholesky,compute_bound,30,2.0,17.4,0.58,0.6423976608187134
0.6,dual_fft,compute_bound,3,2.0,3.0,1.0,0.0
0.6,dual_fft,memory_bound,27,2.0,27.0,1.0,1.0
0.6,dual_spmv,memory_bound,60,2.0,60.0,1.0,0.8833333333333332
0.6,dual_stencil,memory_bound,45,2.0,30.0,0.6666666666666666,1.0
0.6,gpu_cutlass_simt_conv2d,compute_bound,30,2.0,30.0,1.0,1.0
0.6,gpu_cutlass_simt_dgemm_n4096,compute_bound,24,2.0,21.6,0.9,1.0
0.6,minibude_cuda_bm1,compute_bound,3,2.0,3.0,1.0,1.0
0.6,rajaperf_cuda_gemm,compute_bound,9,2.0,9.0,1.0,0.6666666666666666
0.6,rajaperf_cuda_gemm,memory_bound,9,2.0,9.0,1.0,1.0
0.6,rajaperf_cuda_heat_3d,memory_bound,18,2.0,18.0,1.0,1.0
0.6,rajaperf_cuda_jacobi_2d,memory_bound,30,2.0,30.0,1.0,1.0
0.6,rajaperf_stream,memory_bound,30,2.0,30.0,1.0,1.0
0.6,rodinia_gaussian,memory_bound,30,2.0,24.0,0.8,0.6
0.6,rodinia_heartwall,compute_bound,30,2.0,28.0,0.9333333333333333,1.0
0.6,rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,30,2.0,30.0,1.0,1.0
0.6,rodinia_lud,compute_bound,12,2.0,12.0,1.0,0.0
0.6,rodinia_lud,memory_bound,18,2.0,18.0,1.0,1.0
0.7,dual_axpy,memory_bound,45,2.0,40.8,0.9066666666666666,1.0
0.7,dual_cholesky,compute_bound,30,2.0,9.2,0.3066666666666667,0.2642857142857143
