elapsed_seconds,gpu_interval_ns,kernel_ref,n_gpu_telemetry,n_windows_total,phase_label_train,quality_json,repetition,success
4.936188363470137,1000000,gpu_dgemm_n4096,2998,7494,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 396, ""pmu_degraded"": 3885, ""intensity_undefined"": 77, ""no_freq_reading"": 137, ""gpu_telemetry"": 2998}",1,True
4.930338583886623,1000000,gpu_dgemm_n4096,2972,7462,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 389, ""pmu_degraded"": 3887, ""intensity_undefined"": 74, ""no_freq_reading"": 139, ""gpu_telemetry"": 2972}",2,True
4.929765932261944,1000000,gpu_dgemm_n4096,2990,7490,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 390, ""pmu_degraded"": 3884, ""intensity_undefined"": 90, ""no_freq_reading"": 135, ""gpu_telemetry"": 2990}",3,True
7.3858733884990215,1000000,rodinia_hotspot,4446,11360,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 594, ""intensity_undefined"": 4115, ""gpu_telemetry"": 4446}",1,True
7.385605967603624,1000000,rodinia_hotspot,4586,11498,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 588, ""intensity_undefined"": 4118, ""gpu_telemetry"": 4586}",2,True
7.335401282645762,1000000,rodinia_hotspot,3483,10389,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 585, ""intensity_undefined"": 4115, ""gpu_telemetry"": 3483}",3,True
1.2715496132150292,1000000,rodinia_backprop,537,1377,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 16, ""gpu_telemetry"": 537}",1,True
1.2715029995888472,1000000,rodinia_backprop,419,1251,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 419}",2,True
1.2707495652139187,1000000,rodinia_backprop,531,1365,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 818, ""pmu_degraded"": 15, ""gpu_telemetry"": 531}",3,True
5.9820310436189175,1000000,rodinia_lavamd,3547,9071,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3748, ""pmu_degraded"": 1507, ""intensity_undefined"": 268, ""gpu_telemetry"": 3547}",1,True
5.931954129599035,1000000,rodinia_lavamd,3004,8516,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3737, ""pmu_degraded"": 1505, ""intensity_undefined"": 269, ""gpu_telemetry"": 3004}",2,True
