kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
gpu_dgemm_n4096,2998,7494,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 396, ""pmu_degraded"": 3885, ""intensity_undefined"": 77, ""ok"": 137, ""gpu_telemetry"": 2998}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__gpu_dgemm_n4096__REF__rep01
gpu_dgemm_n4096,2972,7462,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 389, ""pmu_degraded"": 3887, ""intensity_undefined"": 74, ""ok"": 139, ""gpu_telemetry"": 2972}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__gpu_dgemm_n4096__REF__rep02
gpu_dgemm_n4096,2990,7490,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 390, ""pmu_degraded"": 3884, ""intensity_undefined"": 90, ""ok"": 135, ""gpu_telemetry"": 2990}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__gpu_dgemm_n4096__REF__rep03
rodinia_backprop,537,1377,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 16, ""gpu_telemetry"": 537}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_backprop__REF__rep01
rodinia_backprop,419,1251,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 419}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_backprop__REF__rep02
rodinia_backprop,531,1365,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 818, ""pmu_degraded"": 15, ""gpu_telemetry"": 531}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_backprop__REF__rep03
rodinia_dwt2d,1338,3437,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 125, ""intensity_undefined"": 1027, ""gpu_telemetry"": 1338}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_dwt2d__REF__rep01
rodinia_dwt2d,1281,3344,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 967, ""pmu_degraded"": 103, ""intensity_undefined"": 992, ""gpu_telemetry"": 1281}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_dwt2d__REF__rep02
rodinia_dwt2d,1315,3401,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 959, ""pmu_degraded"": 112, ""intensity_undefined"": 1014, ""gpu_telemetry"": 1315}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_dwt2d__REF__rep03
rodinia_heartwall,193,504,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 277, ""pmu_degraded"": 16, ""intensity_undefined"": 17, ""gpu_telemetry"": 193}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_heartwall__REF__rep01
