ipc_cv_pct,ipc_mean,kernel_ref,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
22.652090354487054,2.8619699391024036,npb_bt,24932,25013,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""ok"": 24932}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_bt__REF__rep01
22.152373389172165,2.868481206846633,npb_bt,24870,24951,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""ok"": 24870}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_bt__REF__rep02
22.655493875155695,2.8626022863410028,npb_bt,24923,25004,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""ok"": 24923}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_bt__REF__rep03
14.247397390844855,1.769306762031247,npb_cg,6690,6761,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6690}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_cg__REF__rep01
15.267878916876704,1.7353107117546676,npb_cg,6748,6819,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6748}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_cg__REF__rep02
11.95982715590009,1.7846386666560827,npb_cg,6599,6670,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6599}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_cg__REF__rep03
35.70540639574556,3.320530761595411,npb_ft,3661,4162,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3661}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_ft__REF__rep01
35.277783733873505,3.3492411932243815,npb_ft,3628,4129,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3628}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_ft__REF__rep02
36.41263070942343,3.2930876727717626,npb_ft,3692,4193,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3692}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_ft__REF__rep03
22.576923384417974,1.804086583724694,npb_lu,16493,17494,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16493}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_lu__REF__rep01
22.368193031494755,1.810840705417824,npb_lu,16405,17406,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16405}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_lu__REF__rep02
22.055748701126916,1.8171984438887276,npb_lu,16345,17346,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16345}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_lu__REF__rep03
23.577263087738405,1.7022029958812566,npb_mg,636,937,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 636}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_mg__REF__rep01
22.473039955586987,1.7172095952970874,npb_mg,627,928,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 627}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_mg__REF__rep02
22.88923219248768,1.706408827420102,npb_mg,634,935,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""ok"": 634}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_mg__REF__rep03
41.05536748849896,1.7681124451428911,npb_sp,16731,17232,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16731}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_sp__REF__rep01
40.80839653172895,1.7616274941876715,npb_sp,16791,17292,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 16791}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_sp__REF__rep02
41.957624814302534,1.7394406692464808,npb_sp,17019,17520,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 17019}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_1000000/sweep_interval_1000000__npb_sp__REF__rep03
16.93092644603485,2.8655237111563774,npb_bt,2484,2493,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 8, ""ok"": 2484}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_bt__REF__rep01
16.67272410494606,2.870717216697443,npb_bt,2479,2488,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 8, ""ok"": 2479}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_bt__REF__rep02
16.15997080618296,2.879587466368171,npb_bt,2471,2480,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 8, ""ok"": 2471}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_bt__REF__rep03
