domain,interval_ns,kernel_ref,n_gpu_telemetry,repetition,sampling_interval_cv_pct,success
cpu,500000,npb_mg,,1,0.286551,True
cpu,1000000,npb_cg,,1,0.0919377,True
cpu,1000000,npb_bt,,1,0.0603239,True
cpu,1000000,npb_bt,,2,0.0606246,True
cpu,500000,npb_mg,,2,0.286322,True
cpu,500000,npb_bt,,1,0.0999115,True
cpu,1000000,npb_cg,,2,0.0899889,True
cpu,500000,npb_bt,,2,0.09465,True
cpu,500000,npb_mg,,3,0.280199,True
cpu,1000000,npb_cg,,3,0.103231,True
cpu,500000,npb_cg,,1,0.149877,True
cpu,500000,npb_cg,,2,0.141924,True
cpu,1000000,npb_mg,,1,0.192397,True
cpu,1000000,npb_mg,,2,0.1908,True
cpu,500000,npb_bt,,3,0.0940344,True
cpu,1000000,npb_mg,,3,0.190447,True
cpu,500000,npb_cg,,3,0.147262,True
cpu,1000000,npb_bt,,3,0.0627011,True
gpu,50000000,rodinia_backprop,17,1,,True
gpu,50000000,rodinia_backprop,17,2,,True
gpu,100000000,rodinia_backprop,9,1,,True
gpu,100000000,rodinia_backprop,9,2,,True
gpu,100000000,rodinia_backprop,9,3,,True
gpu,50000000,rodinia_backprop,17,3,,True
