run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,,REF,,,2261000,0,,5351119184728916,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},first_sample_no_delta
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,1,5351119184728916,5351119185781872,1052956,143755,221851,2788,1444,142790,0.6436301842227441,2832,181248,0.6479799505073225,0.5179340028694405,10.044868004591144,136525172.94169936,,,,774165,774165,1.0,,,,0,67665.65954020307,92416,0.7321855473100228,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,2,5351119185781872,5351119186782474,1000602,589391,834869,8422,6711,502283,0.6016309145506661,8567,548288,0.7059682417241507,0.7968416053194015,11.386329278865812,589036400.0871476,,,,836039,836039,1.0,102416,8338,96.9124394746728,1,277427.0859591654,429504,0.6459243358831709,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,3,5351119186782474,5351119187782147,999673,1653420,3819055,57040,37504,3037133,0.7952577273697289,58233,3726912,0.43293956227391334,0.6575035063113605,22.682681956187782,1653960845.1963792,,,,3959021,3959021,1.0,65064,5600,65.06237344066398,1,778266.8762614349,2400256,0.32424327915915424,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,4,5351119187782147,5351119188782597,1000450,5068274,7707193,199790,164510,6096632,0.7910314429650328,208338,13333632,0.6576030988195054,0.8234145853145803,32.45878182592338,5065994302.563847,,,,5987489,5987489,1.0,104186,8339,98.91858533111798,1,2385642.9546134965,10528640,0.22658605048833436,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,5,5351119188782597,5351119189781913,999316,48553651,18290136,133624,88137,2344986,0.12821041899305724,125765,8048960,2.654635864927412,0.6595895946835898,1.815249691521653,48586884428.949394,,,,5985008,5985008,1.0,88989,10893,90.04787293787649,1,22854264.67253202,5640768,4.051622876979167,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,6,5351119189781913,5351119190781621,999708,63938135,20806040,48284,35929,321852,0.015469161839542748,48273,3089472,3.07305642976751,0.7441181343716345,0.5619338130522575,63956810388.633484,,,,5995879,5995879,1.0,111206,17320,112.73971102883628,1,30095760.666032776,2299456,13.088208979007547,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,7,5351119190781621,5351119191781440,999819,63725832,20798352,48199,38947,372611,0.0179154098363178,48210,3085440,3.063984684940422,0.8080458100790473,0.6111650295911397,63737368463.691925,,,,5997765,5997765,1.0,96985,8966,97.18004034096433,1,29995829.37656553,2492608,12.033913626436862,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,8,5351119191781440,5351119192781685,1000245,64343957,20843940,48545,42396,229613,0.0110158156279475,48514,3104896,3.086938313965594,0.8733340199814605,0.6588963746820855,64328196591.83499,,,,6001144,6001144,1.0,99121,7405,99.11138619553904,1,30286781.59251133,2713344,11.16216063739479,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,9,5351119192781685,5351119193781350,999665,64596489,20852412,48772,42281,163643,0.007847677285486207,48822,3124608,3.0977945860651515,0.8669113425736078,0.6545402181223813,64618136075.58532,,,,5997956,5997956,1.0,142577,6793,142.6808716745791,1,30405648.722941622,2705984,11.236448080602703,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
