run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status,gpu_power_mw,gpu_util_pct
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,0,,5428996026636260,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},first_sample_no_delta,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,1,5428996026636260,5428996033934199,7297939,4162698,3543399,45206,37041,1836488,0.5182842801502173,44888,2872832,1.17477540632596,0.8193823828695306,8.8983154675165,570393641.2732416,,,,4399296,4399296,1.0,,,,0,,2370624,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},warmup_excluded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,2,5428996033934199,5428996034191125,256926,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,576781,41677,79.05817340819252,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,3,5428996034191125,5428996034453204,262079,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,4,5428996034453204,5428996034517273,64069,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,5,5428996034517273,5428996034533012,15739,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,6,5428996034533012,5428996034549735,16723,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,7,5428996034549735,5428996034563265,13530,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,8,5428996034563265,5428996034687492,124227,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,0,0,0.0,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,9,5428996034687492,5428996035688727,1001235,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,80566,5768,648.6168808166682,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,10,5428996035688727,5428996036689068,1000341,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,76538,6044,76.43351538446943,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,11,5428996036689068,5428996037689259,1000191,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,71411,6212,71.34265373771927,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,12,5428996037689259,5428996038689184,999925,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,74646,5844,74.56770391089356,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,13,5428996038689184,5428996039688693,999509,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,85388,5830,85.39995599383914,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,14,5428996039688693,5428996040689432,1000739,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,69152,5416,69.28599912230254,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,15,5428996040689432,5428996041689417,999985,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,82581,6563,82.40358508131992,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,16,5428996041689417,5428996042688624,999207,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,77758,6059,77.753334799912,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,17,5428996042688624,5428996043689493,1000869,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,63171,4544,63.314787883282946,1,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,18,5428996043689493,5428996044689422,999929,429978,499314,7192,2393,293688,0.5881829870582439,7305,467520,0.8611374806234153,0.33273081201334814,5.565401020517329,430008530.60567296,,,,681457,681457,1.0,76294,6671,76.11763543868857,1,,153152,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},warmup_excluded,,
pacca_gpu_ref_20260807__rodinia_lud__REF__rep01,1,rodinia_lud,pacca-a100,intermedio,,REF,,,,19,5428996044689422,5428996045688588,999166,56711,67534,961,426,41718,0.6177332898984216,955,61120,0.8397399828234667,0.4432882414151925,7.511770203311526,56758336.45260148,,,,997715,997715,1.0,87097,5952,86.41269784575944,1,,27264,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:a6e0ad653062eaa47a21ee51158afc0ac8e11d6daca34701cf0fbb74f98e3b46'},warmup_excluded,,
