device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
cpu,25.22577932663262,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 25015}",1,True,50,0
cpu,25.174785532988608,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24937}",2,True,50,0
cpu,25.124635481275618,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24906}",3,True,50,0
cpu,25.073813481256366,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24889}",4,True,50,0
cpu,25.073959250934422,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24869}",5,True,50,0
cpu,25.17401282209903,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24939}",6,True,50,0
cpu,25.125370509922504,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24888}",7,True,50,0
cpu,25.023083239793777,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24828}",8,True,50,0
cpu,25.174795624800026,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24953}",9,True,50,0
cpu,25.173752614296973,,npb_bt,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 80, ""no_freq_reading"": 24981}",10,True,50,0
cpu,1.0183032853528857,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 629}",1,True,50,0
cpu,1.01946728117764,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 637}",2,True,50,0
cpu,1.0193776609376073,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 637}",3,True,50,0
cpu,1.0188144082203507,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 636}",4,True,50,0
cpu,1.0192940551787615,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 631}",5,True,50,0
cpu,1.0194275211542845,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 631}",6,True,50,0
cpu,1.019379336386919,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 638}",7,True,50,0
cpu,1.0194139499217272,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 640}",8,True,50,0
cpu,1.019067458808422,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 655}",9,True,50,0
cpu,1.0187442880123854,,npb_mg,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 300, ""no_freq_reading"": 637}",10,True,50,0
