device,kernel_ref,method,n_samples,proposed_warmup_s,raw_warmup_s,varied_param,varied_value
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,cv_threshold_pct,1.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,cv_threshold_pct,2.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,cv_threshold_pct,5.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,cv_threshold_pct,8.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,cv_threshold_pct,10.0
gpu,rodinia_hotspot,cv_threshold,1232,1.84905456,1.84905456,margin,1.0
gpu,rodinia_hotspot,cv_threshold,1232,2.033960016,1.84905456,margin,1.1
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,margin,1.2
gpu,rodinia_hotspot,cv_threshold,1232,2.403770928,1.84905456,margin,1.3
gpu,rodinia_hotspot,cv_threshold,1232,2.77358184,1.84905456,margin,1.5
gpu,rodinia_hotspot,cv_threshold,1232,0.0,0.0,min_mean_floor,0.0
gpu,rodinia_hotspot,cv_threshold,1232,0.3960716976,0.330059748,min_mean_floor,2.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,min_mean_floor,5.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,min_mean_floor,8.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,min_mean_floor,12.0
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,plateau_ratio,0.6
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,plateau_ratio,0.7
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,plateau_ratio,0.8
gpu,rodinia_hotspot,cv_threshold,1232,2.2188654719999996,1.84905456,plateau_ratio,0.9
gpu,rodinia_heartwall,cv_threshold,1049,0.2928630588,0.244052549,cv_threshold_pct,1.0
gpu,rodinia_heartwall,cv_threshold,1049,0.2928630588,0.244052549,cv_threshold_pct,2.0
gpu,rodinia_heartwall,cv_threshold,1049,0.2928630588,0.244052549,cv_threshold_pct,5.0
gpu,rodinia_heartwall,cv_threshold,1049,0.2928630588,0.244052549,cv_threshold_pct,8.0
gpu,rodinia_heartwall,cv_threshold,1049,0.2928630588,0.244052549,cv_threshold_pct,10.0
gpu,rodinia_heartwall,cv_threshold,1049,0.244052549,0.244052549,margin,1.0
