cpu_list,elapsed_seconds,ipc_mean,kernel_ref,llc_miss_rate_mean,mpki_mean,n_threads,n_windows_ok,n_windows_total,repetition,smt_policy,success,wall_seconds
"[0, 1, 2, 3, 4, 5]",6.834327223710716,1.7778325340402215,npb_cg,0.8742364598161867,20.75397865747355,6,6661,6732,1,one_thread_per_physical_core,True,6.839348790235817
"[0, 1, 2, 3, 4, 5]",6.783470116555691,1.763321342312313,npb_cg,0.7920624416197061,20.93298525648642,6,6642,6713,2,one_thread_per_physical_core,True,6.786013654433191
"[0, 1, 2, 3, 4, 5]",6.883266511373222,1.7598383684732544,npb_cg,0.8891902549545531,20.7598711301324,6,6713,6784,3,one_thread_per_physical_core,True,6.88648668769747
"[0, 1, 2, 3, 4, 5]",6.783100095577538,1.7805004143224157,npb_cg,0.8779221477082043,20.77253083680163,6,6611,6682,4,one_thread_per_physical_core,True,6.786187353543937
"[0, 1, 2, 3, 4, 5]",6.832559640519321,1.768286123787849,npb_cg,0.8935994705502697,20.763219901125122,6,6665,6736,5,one_thread_per_physical_core,True,6.835059418343008
"[0, 16, 1, 17, 2, 18, 3, 19, 4, 20, 5, 21]",5.730932911857963,1.0586378011747113,npb_cg,0.8635513466110768,20.801709284182458,12,5585,5656,1,all_threads,True,5.733915320597589
"[0, 16, 1, 17, 2, 18, 3, 19, 4, 20, 5, 21]",5.780590821057558,1.0547130932973494,npb_cg,0.8482195156256739,20.795503827660053,12,5610,5681,2,all_threads,True,5.783614167012274
"[0, 16, 1, 17, 2, 18, 3, 19, 4, 20, 5, 21]",5.780990722589195,1.0505292431729782,npb_cg,0.8758853644989429,20.77639740210594,12,5622,5693,3,all_threads,True,5.783801727928221
"[0, 16, 1, 17, 2, 18, 3, 19, 4, 20, 5, 21]",5.730263940989971,1.0621736524847938,npb_cg,0.8748871329731335,20.82340363142511,12,5577,5648,4,all_threads,True,5.733421200886369
"[0, 16, 1, 17, 2, 18, 3, 19, 4, 20, 5, 21]",5.781373762525618,1.0500036369175452,npb_cg,0.8616682965795943,20.845001834995752,12,5648,5719,5,all_threads,True,5.785468264482915
