interval_ns_ms,kernel_ref,windows_ok_mean,sampling_cv_pct_mean
0.5,dgemm_n2048,4934.3,1.025
1.0,dgemm_n2048,2459.3,0.231
2.0,dgemm_n2048,1227.0,0.165
5.0,dgemm_n2048,489.0,0.061
10.0,dgemm_n2048,244.3,0.04
0.5,npb_bt,50024.3,1.025
1.0,npb_bt,24908.3,0.231
2.0,npb_bt,12416.7,0.165
5.0,npb_bt,4953.7,0.061
10.0,npb_bt,2478.0,0.04
0.5,npb_cg,13361.7,1.025
1.0,npb_cg,6679.0,0.231
2.0,npb_cg,3337.3,0.165
5.0,npb_cg,1328.0,0.061
10.0,npb_cg,665.3,0.04
0.5,npb_ft,7421.7,1.025
1.0,npb_ft,3660.3,0.231
2.0,npb_ft,1842.7,0.165
5.0,npb_ft,738.3,0.061
10.0,npb_ft,366.3,0.04
0.5,npb_lu,32843.7,1.025
1.0,npb_lu,16414.3,0.231
2.0,npb_lu,8117.0,0.165
5.0,npb_lu,3252.7,0.061
10.0,npb_lu,1627.0,0.04
0.5,npb_mg,1279.0,1.025
1.0,npb_mg,632.3,0.231
2.0,npb_mg,317.0,0.165
5.0,npb_mg,126.3,0.061
10.0,npb_mg,63.0,0.04
0.5,npb_sp,34529.7,1.025
1.0,npb_sp,16847.0,0.231
2.0,npb_sp,8358.7,0.165
5.0,npb_sp,3332.0,0.061
10.0,npb_sp,1718.3,0.04
