kernel_ref,launch_count,operational_intensity,catalog_declared_oi
rodinia_backprop,5,0.0799,0.0799
rodinia_backprop,20,0.0799,0.0799
rodinia_backprop,50,0.0799,0.0799
rodinia_dwt2d,5,2.1762,2.17
rodinia_dwt2d,20,2.1762,2.17
rodinia_dwt2d,50,2.1741,2.17
rodinia_heartwall,5,35.3,35.3
rodinia_heartwall,20,35.2967,35.3
rodinia_heartwall,50,35.3503,35.3
rodinia_hotspot,5,5.0232,5.02
rodinia_hotspot,20,5.0206,5.02
rodinia_hotspot,50,5.02,5.02
rodinia_lavamd,5,708.4857,708.14
rodinia_lavamd,20,708.2979,708.14
rodinia_lavamd,50,708.3487,708.14
rodinia_lud,5,7.4922,7.82
rodinia_lud,20,7.5842,7.82
rodinia_lud,50,7.668,7.82
rodinia_myocyte,5,0.017,0.017
rodinia_myocyte,20,0.0169,0.017
rodinia_myocyte,50,0.017,0.017
